Date time,Status,ACCX,ANGX,ANGVX,ACCY,ANGY,ANGVY,ACCZ,ANGZ,ANGVZ
2024-09-08 오전 12:38:36,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:36,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:36,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:36,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:36,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:37,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:37,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:37,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:37,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:37,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:37,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:37,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:37,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:37,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:38,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:38,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:38,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:39,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:39,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:39,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:39,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:39,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:39,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:39,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:39,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:40,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:40,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:40,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:40,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:40,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:40,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:40,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:40,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:40,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:41,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:41,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:41,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:43,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:43,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:44,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:44,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:44,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:44,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:44,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:44,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:45,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:45,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:45,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:45,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:45,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:45,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:45,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:45,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:51,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:51,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:53,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:53,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:53,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:53,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:56,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:38:57,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:02,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:03,Rec,0,0,0,0,0,0,0,0,0
